-0.012461,-0.020648,0.449091,-2.703,0.128,1.79
-0.054844,-0.035457,0.449219,-2.815,0.36,1.304
-0.194529,0.132556,0.379847,2.742,0.729,0.497
-0.237736,0.075929,0.362719,2.9,0.593,0.876
-0.299389,0.05905,0.331541,2.878,0.478,1.114
-0.15688,0.052189,0.496269,2.884,-0.195,-2.361
-0.23185,-0.105291,0.407906,2.804,0.345,-1.487
-0.226951,-0.173701,0.366068,2.908,0.556,-1.2
-0.25317,-0.053242,0.424549,2.901,0.276,-1.785
-0.194611,0.016773,0.508065,2.727,0.019,-2.104
-0.137523,-0.017906,0.533242,2.51,0.019,-1.757
-0.057265,0.024982,0.44583,2.588,0.064,-1.603
-0.160878,-0.098528,0.415481,2.659,0.356,-1.234
-0.135578,-0.15378,0.392651,2.907,0.812,-0.866
-0.243206,-0.030174,0.293176,2.698,0.418,-1.405
