-0.294671,0.017391,0.342192,3.001,0.307,-2.886
-0.26187,-0.091319,0.421743,-2.95,0.367,-0.489
-0.204315,0.241143,0.380263,2.854,-0.384,-1.876
-0.108983,0.029923,0.405374,2.399,0.277,-1.525
-0.2305,-0.086564,0.461131,-2.933,0.482,-0.494
-0.307688,-0.152317,0.34169,-2.813,0.355,-0.287
-0.149599,-0.030745,0.368769,2.859,0.575,-0.416
-0.096047,0.189745,0.370702,2.725,-0.447,-2.113
-0.018096,0.213732,0.236808,-2.899,-0.737,-2.703
-0.075242,0.037424,0.34667,2.589,0.144,-1.751
-0.282636,-0.141238,0.389682,-2.77,0.299,-0.123
-0.241023,0.132735,0.466603,2.692,-0.041,-1.253
-0.168749,0.085497,0.429433,-2.777,0.431,1.842
-0.182887,0.213162,0.374319,-2.85,0.679,1.504
-0.235366,-0.197345,0.250333,2.476,0.196,3.092
